1|Mi piacerebbe visitare Roma la prossima estate per vedere il Colosseo
2|Il ristorante offre piatti tradizionali italiani come pasta, pizza e gelato
3|Durante il weekend andiamo spesso al mare per rilassarci e nuotare
4|La mia famiglia ama cucinare ricette italiane usando ingredienti freschi e locali
5|Abbiamo deciso di studiare l'italiano per poter parlare con i nostri parenti
6|Nel centro storico di Firenze si trovano bellissime opere d'arte rinascimentale
7|La mattina prendo sempre un cappuccino con una brioche al bar
8|Stasera guarderemo un film italiano per migliorare la nostra comprensione della lingua
9|Vorrei comprare una casa in Toscana e vivere tra le colline verdi
10|Ogni giorno vado a lavorare in bicicletta, anche quando piove leggermente
11|Le Dolomiti offrono paesaggi spettacolari e sono perfette per chi ama sciare
12|Durante la mia ultima vacanza ho visitato Venezia e sono andato in gondola
13|Per cena abbiamo preparato un risotto ai funghi e una bottiglia di vino rosso
14|Studiare all'università italiana è un sogno che spero di realizzare presto
15|Abbiamo prenotato un viaggio in Sicilia per esplorare le sue spiagge e la cultura
16|Mi sveglio ogni giorno alle sette e preparo una tazza di caffè
17|Domani andrò al mercato per comprare frutta fresca e verdura
18|La mia amica ha organizzato una festa di compleanno in giardino
19|Vorrei imparare a suonare la chitarra durante le vacanze estive
20|Il treno per Milano parte alle otto e trenta dal binario quattro
21|Abbiamo mangiato una pizza margherita con mozzarella di bufala e basilico
22|Il museo ospita una mostra temporanea di dipinti rinascimentali
23|Ieri abbiamo camminato per ore lungo le strade di Venezia
24|Preferisco leggere un buon libro prima di andare a dormire
25|Ogni domenica visitiamo i nonni e pranziamo tutti insieme
26|Ho comprato un vestito elegante per il matrimonio di mio cugino
27|Durante le vacanze natalizie mi piace decorare l’albero con la famiglia
28|Quest’anno studierò l’italiano più intensamente per migliorare la pronuncia
29|Mi piace correre al parco la mattina presto quando c'è poca gente
30|Abbiamo trascorso una settimana in Sardegna esplorando spiagge bellissime
31|Il mio sogno è visitare tutte le città d’arte italiane
32|Oggi devo lavorare fino a tardi per completare un progetto importante
33|A pranzo ho mangiato un panino con prosciutto crudo e formaggio
34|Il cameriere ci ha consigliato un vino toscano dal sapore delicato
35|Le strade di Roma sono sempre piene di turisti e artisti di strada
36|Adoro guardare il tramonto dalla terrazza con un bicchiere di vino rosso
37|Ho iniziato un corso di cucina per imparare a fare la pasta fatta in casa
38|Il cane della mia vicina è molto affettuoso e gioca sempre con me
39|Abbiamo prenotato un hotel con vista sul lago di Como
40|Vorrei visitare Napoli per assaggiare la vera pizza napoletana
41|Ogni anno partecipiamo al Carnevale di Venezia con costumi bellissimi
42|Il mio capo ha organizzato una riunione alle nove di mattina
43|Il weekend scorso siamo andati in montagna a fare una lunga passeggiata
44|Sto cercando una ricetta tradizionale per cucinare il ragù alla bolognese
45|Il teatro offre spettacoli meravigliosi con attori di fama internazionale
46|I bambini giocano felici nel cortile della scuola
47|Dopo cena guarderemo un documentario sulla storia di Firenze
48|Quest’inverno voglio andare a sciare sulle Dolomiti
49|Il bar sotto casa serve il miglior cappuccino della città
50|Ogni estate andiamo in Puglia per visitare le bellissime spiagge del Salento
51|Ho bisogno di comprare un paio di scarpe nuove per l’ufficio
52|Il concerto di ieri sera è stato un’esperienza indimenticabile
53|Ogni mattina porto il mio gatto dal veterinario per un controllo
54|Vorrei scrivere un diario di viaggio per ricordare le mie avventure
55|Durante la lezione di storia abbiamo parlato dell’antica Roma
56|Il centro commerciale sarà aperto fino a mezzanotte per i saldi
57|Abbiamo cenato in un ristorante che serve specialità siciliane
58|Vorrei trasferirmi in una casa più grande con un bel giardino
59|Durante l’autunno, le foglie degli alberi diventano rosse e arancioni
60|La professoressa ci ha assegnato un tema da scrivere per domani
61|Abbiamo trascorso il pomeriggio al parco leggendo un buon libro
62|Mi piacerebbe lavorare in un’azienda internazionale con colleghi di tutto il mondo
63|Il mio fratello maggiore studia ingegneria all’università di Torino
64|Ogni estate i turisti visitano la Costiera Amalfitana per ammirare il panorama
65|Oggi ho trovato un negozio che vende prodotti biologici di alta qualità
66|La cena in famiglia è il momento più importante della mia giornata
67|I bambini aspettano con ansia le vacanze scolastiche per giocare all’aperto
68|Abbiamo passato il pomeriggio a guardare fotografie dei nostri viaggi passati
69|Il mio vicino coltiva un piccolo orto con pomodori, basilico e zucchine
70|Domenica prossima andremo a vedere una partita di calcio allo stadio
71|Vorrei trascorrere qualche giorno in montagna per rilassarmi lontano dalla città
72|Ogni sera preparo una tisana rilassante prima di andare a dormire
73|Durante il viaggio in treno ho conosciuto una persona molto interessante
74|A colazione preferisco mangiare yogurt con frutta fresca e cereali
75|La mia sorella minore sta imparando a nuotare in piscina
76|L’hotel ha una piscina panoramica con vista sulle colline toscane
77|Il nostro insegnante ci ha portato in gita al museo archeologico
78|Abbiamo affittato un’auto per esplorare i paesini della campagna italiana
79|Vorrei visitare la Sicilia per vedere l’Etna e i templi di Agrigento
80|Il mio collega mi ha portato dei dolci tipici della sua regione
81|Durante il weekend, la città si riempie di mercatini e bancarelle
82|Ogni sabato andiamo a fare la spesa al mercato degli agricoltori
83|Vorrei migliorare la mia grammatica italiana con un corso avanzato
84|La vista dalla cima della torre è davvero spettacolare
85|Ieri sera abbiamo preparato una cena con antipasti, primi e dolci
86|Il mio amico ha acquistato una macchina nuova molto elegante
87|Quest’estate parteciperemo a un festival musicale in Toscana
88|Abbiamo bevuto un caffè al bar prima di iniziare la riunione
89|Il gelato al pistacchio è uno dei miei gusti preferiti
90|Ogni anno festeggiamo l’anniversario dei miei genitori con una cena speciale
91|Mi piace fare jogging lungo il fiume quando c’è il sole
92|Il libro che sto leggendo racconta la storia di una famiglia italiana
93|Abbiamo preso il treno ad alta velocità per raggiungere Venezia in poco tempo
94|La lezione di italiano di oggi è stata molto interessante e utile
95|Quest’anno vorrei visitare almeno cinque città italiane diverse
96|La nonna prepara sempre i biscotti fatti in casa per i nipoti
97|Durante le vacanze, abbiamo scoperto un piccolo ristorante in riva al mare
